Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Days Held,Avg Profit per Trade,Data Points,Test Period
MARUTI.NS,Maruti Suzuki,16,100000,109718.74688450446,9718.746884504464,9.718746884504464,37,22,15,59.45945945945946,8.702702702702704,262.66883471633685,927,2022-01-03 to 2025-10-01
ULTRACEMCO.NS,UltraTech Cement,15,100000,108008.33156358624,8008.331563586238,8.008331563586237,34,17,17,50.0,9.029411764705882,235.53916363488935,926,2022-01-03 to 2025-10-01
BAJAJ-AUTO.NS,Bajaj Auto,21,100000,105986.6249427252,5986.624942725204,5.9866249427252045,36,26,10,72.22222222222221,9.25,166.29513729792234,925,2022-01-03 to 2025-10-01
EICHERMOT.NS,Eicher Motors,11,100000,104385.8587570495,4385.8587570495,4.3858587570495,33,24,9,72.72727272727273,8.818181818181818,132.9048108196818,925,2022-01-03 to 2025-10-01
APOLLOHOSP.NS,Apollo Hospitals,22,100000,104211.95754911668,4211.957549116676,4.211957549116676,37,22,15,59.45945945945946,9.27027027027027,113.83669051666692,926,2022-01-03 to 2025-10-01
BRITANNIA.NS,Britannia Industries,44,100000,103936.24964806045,3936.249648060446,3.9362496480604454,31,21,10,67.74193548387096,11.935483870967742,126.97579509872406,927,2022-01-03 to 2025-10-01
DIVISLAB.NS,Divi's Laboratories,9,100000,103609.31611653799,3609.316116537986,3.609316116537986,39,22,17,56.41025641025641,5.769230769230769,92.54656709071759,925,2022-01-03 to 2025-10-01
TITAN.NS,Titan Company,6,100000,102671.41460489051,2671.4146048905095,2.6714146048905096,38,28,10,73.68421052631578,5.0,70.30038433922394,927,2022-01-03 to 2025-10-01
MandM.NS,MandM.NS,5,100000,102421.52711473641,2421.527114736411,2.4215271147364112,36,29,7,80.55555555555556,4.305555555555555,67.26464207601141,927,2022-01-03 to 2025-10-01
LT.NS,Larsen & Toubro,5,100000,102136.58870872982,2136.588708729818,2.136588708729818,40,31,9,77.5,4.35,53.41471771824545,927,2022-01-03 to 2025-10-01
HINDUNILVR.NS,Hindustan Unilever,11,100000,101680.91989482117,1680.9198948211706,1.6809198948211705,38,22,16,57.89473684210527,7.473684210526316,44.23473407424133,926,2022-01-03 to 2025-10-01
GRASIM.NS,Grasim Industries,16,100000,101666.91339544712,1666.913395447118,1.6669133954471183,37,22,15,59.45945945945946,9.18918918918919,45.05171339046265,926,2022-01-03 to 2025-10-01
ADANIENT.NS,Adani Enterprises,9,100000,101406.95052608183,1406.950526081826,1.4069505260818258,31,16,15,51.61290322580645,6.064516129032258,45.38550084134923,927,2022-01-03 to 2025-10-01
BHARTIARTL.NS,Bharti Airtel,7,100000,101203.657710625,1203.6577106250043,1.2036577106250044,41,29,12,70.73170731707317,6.024390243902439,29.357505137195226,927,2022-01-03 to 2025-10-01
BAJAJFINSV.NS,Bajaj Finserv,5,100000,101200.05933548539,1200.0593354853918,1.2000593354853917,45,31,14,68.88888888888889,4.088888888888889,26.667985233008707,925,2022-01-03 to 2025-10-01
TCS.NS,Tata Consultancy Services,10,100000,101190.43201940256,1190.432019402564,1.1904320194025642,36,19,17,52.77777777777778,7.277777777777778,33.067556094515666,927,2022-01-03 to 2025-10-01
SBILIFE.NS,SBI Life Insurance,28,100000,101064.0073339528,1064.0073339528026,1.0640073339528024,32,20,12,62.5,11.3125,33.25022918602508,925,2022-01-03 to 2025-10-01
KOTAKBANK.NS,Kotak Mahindra Bank,32,100000,101005.27818933096,1005.2781893309584,1.0052781893309584,37,19,18,51.35135135135135,10.864864864864865,27.169680792728606,927,2022-01-03 to 2025-10-01
ASIANPAINT.NS,Asian Paints,5,100000,100985.25336657147,985.2533665714727,0.9852533665714727,31,19,12,61.29032258064516,4.645161290322581,31.782366663595894,927,2022-01-03 to 2025-10-01
AXISBANK.NS,Axis Bank,7,100000,100972.87153878337,972.8715387833654,0.9728715387833655,31,26,5,83.87096774193549,6.161290322580645,31.38295286397953,927,2022-01-03 to 2025-10-01
ADANIPORTS.NS,Adani Ports,5,100000,100966.20191109889,966.2019110988913,0.9662019110988913,41,30,11,73.17073170731707,4.317073170731708,23.565900270704667,926,2022-01-03 to 2025-10-01
CIPLA.NS,Cipla,6,100000,100931.90496225804,931.9049622580351,0.9319049622580351,35,23,12,65.71428571428571,5.0,26.62585606451529,926,2022-01-03 to 2025-10-01
INDUSINDBK.NS,IndusInd Bank,19,100000,100924.84378305411,924.8437830541079,0.9248437830541079,34,21,13,61.76470588235294,8.794117647058824,27.201287736885526,927,2022-01-03 to 2025-10-01
INFY.NS,Infosys,22,100000,100910.57683050068,910.5768305006786,0.9105768305006786,34,17,17,50.0,10.441176470588236,26.781671485314078,927,2022-01-03 to 2025-10-01
RELIANCE.NS,Reliance Industries,10,100000,100906.20724142187,906.207241421871,0.906207241421871,39,21,18,53.84615384615385,7.230769230769231,23.23608311338131,927,2022-01-03 to 2025-10-01
HCLTECH.NS,HCL Technologies,7,100000,100883.88178322755,883.8817832275527,0.8838817832275527,41,29,12,70.73170731707317,5.487804878048781,21.558092273842746,927,2022-01-03 to 2025-10-01
SUNPHARMA.NS,Sun Pharmaceutical,26,100000,100878.2443537717,878.2443537717045,0.8782443537717045,30,18,12,60.0,11.566666666666666,29.27481179239015,927,2022-01-03 to 2025-10-01
TECHM.NS,Tech Mahindra,17,100000,100871.38411029248,871.384110292478,0.871384110292478,37,21,16,56.75675675675676,9.297297297297296,23.550921899796702,927,2022-01-03 to 2025-10-01
ICICIBANK.NS,ICICI Bank,6,100000,100738.3787172107,738.3787172106968,0.7383787172106968,35,26,9,74.28571428571429,5.057142857142857,21.09653477744848,927,2022-01-03 to 2025-10-01
DRREDDY.NS,Dr. Reddy's Laboratories,17,100000,100708.65324183108,708.6532418310817,0.7086532418310817,35,19,16,54.285714285714285,9.457142857142857,20.247235480888047,926,2022-01-03 to 2025-10-01
NESTLEIND.NS,Nestle India,16,100000,100684.83828035175,684.8382803517452,0.6848382803517452,39,19,20,48.717948717948715,9.487179487179487,17.559955906455006,927,2022-01-03 to 2025-10-01
TATAMOTORS.NS,Tata Motors,13,100000,100662.34311896781,662.3431189678086,0.6623431189678086,41,28,13,68.29268292682927,7.317073170731708,16.154710218727036,927,2022-01-03 to 2025-10-01
SBIN.NS,State Bank of India,7,100000,100574.73501435276,574.7350143527583,0.5747350143527583,42,29,13,69.04761904761905,5.619047619047619,13.684167008399006,927,2022-01-03 to 2025-10-01
HDFCBANK.NS,HDFC Bank,22,100000,100513.67668177144,513.6766817714379,0.5136766817714379,34,19,15,55.88235294117647,10.970588235294118,15.108137699159938,927,2022-01-03 to 2025-10-01
JSWSTEEL.NS,JSW Steel,25,100000,100461.14364967066,461.1436496706592,0.46114364967065924,41,26,15,63.41463414634146,9.975609756097562,11.247406089528274,926,2022-01-03 to 2025-10-01
HDFCLIFE.NS,HDFC Life Insurance,11,100000,100460.62887064816,460.6288706481573,0.4606288706481573,34,22,12,64.70588235294117,7.911764705882353,13.547907960239922,925,2022-01-03 to 2025-10-01
HINDALCO.NS,Hindalco Industries,13,100000,100410.23010559063,410.2301055906282,0.4102301055906282,32,21,11,65.625,8.875,12.819690799707132,926,2022-01-03 to 2025-10-01
BAJFINANCE.NS,Bajaj Finance,13,100000,100350.37649257145,350.3764925714495,0.3503764925714495,40,21,19,52.5,7.025,8.759412314286237,927,2022-01-03 to 2025-10-01
DABUR.NS,Dabur India,5,100000,100284.05182457935,284.05182457935007,0.2840518245793501,36,26,10,72.22222222222221,4.472222222222222,7.890328460537502,927,2022-01-03 to 2025-10-01
COALINDIA.NS,Coal India,5,100000,100232.51788132696,232.51788132695947,0.23251788132695947,46,30,16,65.21739130434783,4.021739130434782,5.0547365505860755,926,2022-01-03 to 2025-10-01
ITC.NS,ITC Limited,6,100000,100215.45102608569,215.4510260856914,0.21545102608569144,38,26,12,68.42105263157895,5.131578947368421,5.6697638443603005,927,2022-01-03 to 2025-10-01
POWERGRID.NS,Power Grid Corporation,46,100000,100180.02887622474,180.02887622473645,0.18002887622473646,35,22,13,62.857142857142854,9.714285714285714,5.1436821778496125,925,2022-01-03 to 2025-10-01
NTPC.NS,NTPC,5,100000,100179.46544105186,179.46544105185603,0.17946544105185602,38,25,13,65.78947368421053,4.631578947368421,4.722774764522527,927,2022-01-03 to 2025-10-01
WIPRO.NS,Wipro,11,100000,100143.1484499296,143.1484499296057,0.1431484499296057,35,23,12,65.71428571428571,7.771428571428571,4.089955712274449,927,2022-01-03 to 2025-10-01
TATASTEEL.NS,Tata Steel,5,100000,100095.47637677618,95.47637677617604,0.09547637677617604,36,24,12,66.66666666666666,4.388888888888889,2.652121577116001,927,2022-01-03 to 2025-10-01
BPCL.NS,Bharat Petroleum,9,100000,100090.79379950186,90.7937995018583,0.0907937995018583,39,20,19,51.28205128205128,6.0256410256410255,2.32804614107329,927,2022-01-03 to 2025-10-01
IOC.NS,Indian Oil Corporation,9,100000,100082.99845329058,82.99845329058007,0.08299845329058007,41,26,15,63.41463414634146,6.439024390243903,2.024352519282441,927,2022-01-03 to 2025-10-01
ONGC.NS,Oil and Natural Gas Corporation,47,100000,100078.40283883944,78.4028388394363,0.0784028388394363,40,18,22,45.0,8.75,1.9600709709859074,926,2022-01-03 to 2025-10-01
